"country","days.to.start_rel","days.to.10pct_fromstart","daily.vac.per.mil_6moavg","people_vaccinated_per_hundred_last","daily.vac.per.mil_max","total_vaccinations_per_hundred_last","people_fully_vaccinated_per_hundred_last","VSI"
"Sri Lanka",57,154,1322.83333333333,78.64,21207,178.13,65.96,1.80632319960252
"Sweden",32,91,4342.8,76.72,10326,203.37,74.67,2.05895632308463
"Switzerland",19,101,4003,69.74,9916,178.68,68.65,1.63254251519679
"Thailand",87,124,1543,76.72,10885,177.27,71.05,0.92947595138333
"Tunisia",100,111,2676.33333333333,60,8826,108.91,53.06,-0.116087284827234
"Turkey",72,48,4698.42857142857,67.84,11232,171.35,62.11,1.55554971673992
"Uruguay",87,33,8131.16666666667,84.8,11047,219.25,78.7,2.93511333996948
"United States",11,78,5391.66666666667,76.55,9758,167.37,65.16,1.98392339012822
"Uzbekistan",119,111,2396.66666666667,54.75,7207,128.37,39.97,-0.624037495717798
"Afghanistan",82,308,146.5,12.43,920,14.05,10.75,-4.10228115778609
"Albania",39,121,2983.66666666667,44.23,5792,94.28,41.73,-0.535725813889073
"Algeria",58,218,84,16.72,5759,30.72,13.7,-2.90946564847732
"Angola",89,246,420,31.77,2983,49.02,16.53,-3.00089049098921
"Armenia",119,194,761,37.51,4908,70.38,31.97,-2.24693956423332
"Bahamas",101,84,2448.83333333333,41.34,8395,83.43,39.08,-0.79938636421318
"Benin",161,236,186,22.31,2830,24.58,17.78,-3.77027053877896
"Botswana",113,130,1474.33333333333,60.02,5563,60.02,51.23,-1.09387081877191
"Central African Republic",161,248,471.75,16.65,1497,18.3,15.85,-4.06332781695859
"Comoros",140,104,2284.66666666667,38.39,5622,71.81,33.9,-1.62224406659398
"Congo",133,306,388.166666666667,12.03,1253,14.46,11.31,-4.35335436501481
"Djibouti",136,275,423.25,14.34,800,16.38,10.35,-4.23472654414636
"Egypt, Arab Rep.",53,257,349.2,39.51,4696,68.45,28.94,-2.20834128894963
"Equatorial Guinea",104,79,1347.16666666667,17.91,3458,32.24,14.33,-2.55265299613377
"Gabon",110,300,378,13.05,2227,24.09,11,-4.02207742192871
"Gambia, The",97,318,487.333333333333,13.32,1454,14.61,12.79,-4.08889737457391
"Ghana",89,318,73,23.55,2663,37.95,14.4,-3.64958378504276
"Grenada",71,84,1933.5,38.05,4203,76.11,33.18,-1.2553128176248
"Guatemala",85,157,915.666666666667,39.64,4499,80.82,31.1,-1.78636599855521
"Guinea",107,227,673,25.16,5450,43.23,18.07,-2.90259833911557
"Iraq",89,222,253,24.27,7755,41.32,16.74,-2.68011276632576
"Jamaica",97,176,1149.6,25.85,3076,45.86,21.99,-2.64620286776324
"Jordan",41,145,2769.83333333333,45.71,7474,93.97,42.7,-0.50218310319448
"Kenya",92,320,258.333333333333,20.81,2145,30.44,13.95,-3.79467330504585
"Kyrgyzstan",116,157,1029.16666666667,21.81,2013,41.47,17.62,-2.97091967228476
"Lebanon",98,113,2026.28571428571,36.85,3450,76.59,31.91,-1.6500444273493
"Lesotho",97,195,293.75,36.23,2856,39.74,33.7,-2.54191432910012
"Libya",136,137,1541.5,31.11,3397,47.96,15.75,-2.64181019618096
"Mauritania",114,201,437.833333333333,32.33,14372,55.06,21.97,-1.83048948414361
"Montserrat",68,30,2074.5,37.88,3814,83.5,35.8,-0.920763183166534
"Mozambique",95,242,119.25,40.3,9781,73.26,35.68,-1.85090853328304
"Myanmar",55,249,623.8,43.16,5553,81.53,38.38,-1.76031554951123
"Namibia",106,203,724.666666666667,17.18,2397,31.48,14.62,-3.31770373726551
"Pakistan",62,180,1141.66666666667,56.37,5559,95.52,43.98,-1.00596450033826
"Saint Lucia",76,92,1912,31.25,5960,63.05,28.15,-1.45893501225734
"Sierra Leone",102,330,118,18.63,1602,22.84,11.85,-4.0947515458738
"Solomon Islands",111,175,836.4,30.53,2855,44.79,14.25,-2.8623276986021
"Somalia",136,334,152.333333333333,11.43,1788,14.28,7.66,-4.5625745392736
"South Africa",76,167,807.5,33.97,3527,52.72,28.82,-2.18406763928055
"Sudan",98,362,119.333333333333,11.52,3543,13.65,6.12,-4.31954409063662
"Suriname",82,99,1867.66666666667,45.06,6049,84.96,39.9,-0.951121549111001
"Syria",89,348,91.2,12.26,1056,17.86,6.94,-4.36707532007715
"Togo",97,241,361.666666666667,18.28,4479,32.25,13.51,-3.29925101031766
"Uganda",97,275,164,29.82,6250,36.2,6.34,-3.22692799640785
"Ukraine",84,189,924,35.37,5780,70.03,33.8,-1.9017509514473
"Vanuatu",181,98,2365.8,35.05,3851,58.53,23.47,-2.32461040660455
"Zimbabwe",78,165,1192.83333333333,28.93,2791,52.35,22.53,-2.38885784802739
